elapsed_h,sample,temp_c,internal_c,freq_high,freq_low,fault,timestamp
0.6111763130555555,3512,1.5,16.68,2054,259410,0,2026-01-03T07:24:01.265420
0.6143430333333333,3513,1.75,16.56,2040,259190,0,2026-01-03T07:24:12.665613
0.6175097672222222,3514,1.5,16.5,2038,259150,0,2026-01-03T07:24:24.065855
0.6206765277777778,3515,1.25,16.68,2036,259104,0,2026-01-03T07:24:35.466193
0.6238432533333333,3516,2.25,16.75,2040,259098,0,2026-01-03T07:24:46.866405
0.6270099127777777,3517,1.75,16.56,2040,259106,0,2026-01-03T07:24:58.266379
0.6301766127777778,3518,1.5,16.62,2040,259090,0,2026-01-03T07:25:09.666499
0.6333434008333333,3519,1.5,16.43,2040,259076,0,2026-01-03T07:25:21.066936
0.6365101080555555,3520,1.75,16.62,2046,259108,0,2026-01-03T07:25:32.467082
0.6396767838888889,3521,1.5,16.56,2044,259080,0,2026-01-03T07:25:43.867115
0.6428434986111111,3522,1.5,16.43,2044,259072,0,2026-01-03T07:25:55.267288
0.6460102325,3523,1.75,16.62,2038,259020,0,2026-01-03T07:26:06.667530
0.649176995,3524,1.75,16.62,2042,259002,0,2026-01-03T07:26:18.067875
0.6523437136111111,3525,2.0,16.56,2040,258992,0,2026-01-03T07:26:29.468062
0.6555103725,3526,1.5,16.81,2042,259000,0,2026-01-03T07:26:40.868034
0.6586771122222222,3527,1.5,16.68,2050,259056,0,2026-01-03T07:26:52.268297
0.6618438108333333,3528,1.75,16.56,2058,259044,0,2026-01-03T07:27:03.668412
0.6650105302777778,3529,1.5,16.62,2052,259044,0,2026-01-03T07:27:15.068602
0.6681772852777778,3530,1.75,16.62,2050,259046,0,2026-01-03T07:27:26.468920
0.6713439702777778,3531,1.75,16.62,2046,259044,0,2026-01-03T07:27:37.868986
0.674510695,3532,1.75,16.5,2046,259064,0,2026-01-03T07:27:49.269195
0.6776773877777778,3533,1.75,16.62,2046,259042,0,2026-01-03T07:28:00.669289
0.6808441161111111,3534,1.5,16.68,2036,259060,0,2026-01-03T07:28:12.069511
0.6840108322222223,3535,2.25,16.5,2036,259074,0,2026-01-03T07:28:23.469689
0.6871775655555555,3536,1.5,16.62,2034,259088,0,2026-01-03T07:28:34.869929
0.6903443283333334,3537,1.25,16.5,2038,259102,0,2026-01-03T07:28:46.270275
0.6935110286111111,3538,1.75,16.75,2032,259100,0,2026-01-03T07:28:57.670396
0.6966777033333333,3539,1.75,16.56,2034,259098,0,2026-01-03T07:29:09.070425
0.6998444247222222,3540,1.75,16.56,2058,259090,0,2026-01-03T07:29:20.470622
0.7030112252777778,3541,1.75,16.75,2060,259068,0,2026-01-03T07:29:31.871104
0.7061779427777778,3542,1.5,16.5,2048,259076,0,2026-01-03T07:29:43.271287
0.7093446375,3543,1.5,16.68,2034,259060,0,2026-01-03T07:29:54.671388
0.7125113033333333,3544,1.75,16.5,2034,259032,0,2026-01-03T07:30:06.071385
0.7156780361111111,3545,2.0,16.5,2028,259044,0,2026-01-03T07:30:17.471623
0.7188447475,3546,1.75,16.43,2044,259036,0,2026-01-03T07:30:28.871784
0.7220115122222223,3547,2.0,16.56,2038,259002,0,2026-01-03T07:30:40.272137
0.7251781747222222,3548,1.5,16.43,2036,258988,0,2026-01-03T07:30:51.672122
0.7283449094444444,3549,1.5,16.5,2036,259014,0,2026-01-03T07:31:03.072367
0.7315116025,3550,2.0,16.68,2060,259062,0,2026-01-03T07:31:14.472462
0.7346783122222222,3551,1.75,16.56,2028,259004,0,2026-01-03T07:31:25.872617
0.7378450652777778,3552,2.0,16.5,2034,259010,0,2026-01-03T07:31:37.272928
0.7410117516666667,3553,1.75,16.62,2036,258982,0,2026-01-03T07:31:48.672999
0.7441785194444445,3554,1.5,16.56,2038,258954,0,2026-01-03T07:32:00.073363
0.7473451797222223,3555,1.5,16.62,2042,258860,0,2026-01-03T07:32:11.473340
0.7505119147222222,3556,2.0,16.81,2028,258804,0,2026-01-03T07:32:22.873586
